Country,Country Code,Region,WJP Rule of Law Index: Overall Score,Factor 2: Absence of Corruption,Factor 6: Regulatory Enforcement
Afghanistan,AFG,South Asia,0.35,0.30,0.36
Albania,ALB,Eastern Europe & Central Asia,0.49,0.37,0.43
Algeria,DZA,Middle East & North Africa,0.49,0.45,0.48
Angola,AGO,Sub-Saharan Africa,0.43,0.44,0.43
Antigua and Barbuda,ATG,Latin America & Caribbean,0.63,0.59,0.63
Argentina,ARG,Latin America & Caribbean,0.56,0.48,0.50
Australia,AUS,East Asia & Pacific,0.79,0.81,0.81
Austria,AUT,EU + EFTA + North America,0.81,0.82,0.82
The Bahamas,BHS,Latin America & Caribbean,0.61,0.64,0.50
Bangladesh,BGD,South Asia,0.40,0.35,0.40
Barbados,BRB,Latin America & Caribbean,0.65,0.69,0.62
Belarus,BLR,Eastern Europe & Central Asia,0.48,0.51,0.46
Belgium,BEL,EU + EFTA + North America,0.79,0.80,0.81
Belize,BLZ,Latin America & Caribbean,0.48,0.43,0.41
Benin,BEN,Sub-Saharan Africa,0.49,0.38,0.48
Bolivia,BOL,Latin America & Caribbean,0.39,0.27,0.41
Bosnia and Herzegovina,BIH,Eastern Europe & Central Asia,0.52,0.42,0.48
Botswana,BWA,Sub-Saharan Africa,0.59,0.58,0.60
Brazil,BRA,Latin America & Caribbean,0.50,0.43,0.49
Bulgaria,BGR,EU + EFTA + North America,0.54,0.44,0.52
Burkina Faso,BFA,Sub-Saharan Africa,0.50,0.43,0.49
Cambodia,KHM,East Asia & Pacific,0.32,0.23,0.27
Cameroon,CMR,Sub-Saharan Africa,0.35,0.25,0.40
Canada,CAN,EU + EFTA + North America,0.80,0.82,0.80
Chile,CHL,Latin America & Caribbean,0.66,0.69,0.64
China,CHN,East Asia & Pacific,0.47,0.53,0.49
Colombia,COL,Latin America & Caribbean,0.49,0.39,0.52
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,0.35,0.16,0.35
"Congo, Rep.",COG,Sub-Saharan Africa,0.42,0.31,0.48
Costa Rica,CRI,Latin America & Caribbean,0.68,0.65,0.67
Cote d'Ivoire,CIV,Sub-Saharan Africa,0.45,0.35,0.50
Croatia,HRV,EU + EFTA + North America,0.61,0.56,0.57
Cyprus,CYP,EU + EFTA + North America,0.68,0.68,0.65
Czech Republic,CZE,EU + EFTA + North America,0.73,0.65,0.71
Denmark,DNK,EU + EFTA + North America,0.90,0.95,0.89
Dominica,DMA,Latin America & Caribbean,0.58,0.60,0.53
Dominican Republic,DOM,Latin America & Caribbean,0.48,0.39,0.41
Ecuador,ECU,Latin America & Caribbean,0.48,0.41,0.48
"Egypt, Arab Rep.",EGY,Middle East & North Africa,0.35,0.38,0.36
El Salvador,SLV,Latin America & Caribbean,0.48,0.36,0.50
Estonia,EST,EU + EFTA + North America,0.81,0.80,0.79
Ethiopia,ETH,Sub-Saharan Africa,0.41,0.46,0.38
Finland,FIN,EU + EFTA + North America,0.88,0.89,0.87
France,FRA,EU + EFTA + North America,0.72,0.74,0.76
The Gambia,GMB,Sub-Saharan Africa,0.49,0.47,0.37
Georgia,GEO,Eastern Europe & Central Asia,0.61,0.68,0.56
Germany,DEU,EU + EFTA + North America,0.84,0.83,0.86
Ghana,GHA,Sub-Saharan Africa,0.55,0.39,0.54
Greece,GRC,EU + EFTA + North America,0.61,0.56,0.57
Grenada,GRD,Latin America & Caribbean,0.59,0.66,0.56
Guatemala,GTM,Latin America & Caribbean,0.44,0.33,0.42
Guinea,GIN,Sub-Saharan Africa,0.41,0.27,0.36
Guyana,GUY,Latin America & Caribbean,0.50,0.45,0.45
Haiti,HTI,Latin America & Caribbean,0.38,0.28,0.31
Honduras,HND,Latin America & Caribbean,0.39,0.31,0.37
"Hong Kong SAR, China",HKG,East Asia & Pacific,0.75,0.85,0.81
Hungary,HUN,EU + EFTA + North America,0.52,0.49,0.46
India,IND,South Asia,0.50,0.40,0.48
Indonesia,IDN,East Asia & Pacific,0.52,0.40,0.55
"Iran, Islamic Rep.",IRN,Middle East & North Africa,0.42,0.40,0.45
Ireland,IRL,EU + EFTA + North America,0.81,0.80,0.81
Italy,ITA,EU + EFTA + North America,0.66,0.64,0.61
Jamaica,JAM,Latin America & Caribbean,0.57,0.55,0.55
Japan,JPN,East Asia & Pacific,0.79,0.82,0.79
