,country,city,phase,start_year,end_year,rr,length,tunnelper,tunnel,elevated,atgrade,stations,platform_length_meters,anglo,real_cost_2021,cost_km_2021
0,TR,Istanbul,M4 Phase 3,2015,2022,0.0,7.5,1,7.5,0,0,4,180,0.0,550.3418861282242,73.3789181504299
1,CA,Vancouver,Broadway,2020,2025,0.0,5.7,0.8771929824561403,5,0.295,0.446,6,,1.0,2565.2406504000287,450.0422193684261
2,CA,Toronto,Vaughan,2009,2017,0.0,8.6,1,8.6,0,0,6,,1.0,3014.9522873319975,350.5758473641858
3,CA,Toronto,Scarborough,2020,2030,0.0,7.8,1,7.8,0,0,3,,1.0,4985.450027279208,639.1602599075909
4,CA,Toronto,Ontario,2020,2030,0.0,15.5,0.57,8.8,5.76,1.06,15,,1.0,7632.655004165737,492.4293551074669
5,CA,Toronto,Yonge to Richmond Hill,2020,2030,0.0,7.4,1,7.4,0,0,6,,1.0,4924.994996348688,665.5398643714443
6,NL,Amsterdam,Amsterdam North South,2003,2018,0.0,9.7,0.73,7.1,0,0,8,,0.0,5090.073507133968,524.7498460962854
7,CA,Montreal,Blue Line extension,2020,2026,0.0,5.8,1,5.8,0,0,5,,1.0,4079.0045677738976,703.2766496161893
8,US,Seattle,U-Link,2009,2016,0.0,5.1,1,5.1,0,0,2,,1.0,2072.4553777537744,406.36379955956363
9,US,Los Angeles,Purple Phase 3,2020,2027,0.0,4.2,1,4.2,0,0,2,,1.0,3600.0,857.1428571428571
10,US,Los Angeles,Purple Phase 2,2018,2026,0.0,4.2,1,4.2,0,0,2,,1.0,2400.0,571.4285714285714
11,US,Los Angeles,Purple Phase 1,2014,2024,0.0,6.3,1,6.3,0,0,3,,1.0,3021.484865017702,479.6007722250321
12,US,Los Angeles,Regional Connector,2014,2022,0.0,3.1,1,3.1,0,0,3,,1.0,1894.9026510611016,611.2589196971295
13,US,San Francisco,Central Subway,2010,2021,0.0,2.7,1,2.7,0,0,4,,1.0,1911.4959279535012,707.961454797593
14,US,Boston,Green Line Extension,2013,2022,0.0,7.6,0,0,0.78,6.82,7,,1.0,2396.53774375896,315.3339136524947
15,CA,Ottawa,Confederation,2013,2019,0.0,12.5,0.2,2.5,0.84,9.16,13,,1.0,1967.8622290183205,157.42897832146565
16,US,San Francisco,BART to San Jose,2022,2030,0.0,9.6,0.83,8,0,0,4,,1.0,9100.0,947.9166666666667
17,BG,Sofia,Line 1 northern,2009,2012,0.0,5.1,0.6,3.1,0,0,4,,0.0,854.7405028983379,167.5961770388898
18,BG,Sofia,Line 1 southern,2013,2015,0.0,3,1,3,0,0,3,,0.0,167.2043863206272,55.73479544020907
19,BG,Sofia,Line 2,2008,2012,0.0,17,0.9,15.3,0,0,11,,0.0,3927.608599625784,231.0357999779873
20,BG,Sofia,Line 2 extension,2012,2016,0.0,1.3,1,1.3,0,0,1,,0.0,79.80209347120845,61.386225747083415
21,BG,Sofia,Line 3,2016,2021,0.0,12,1,12,0,0,12,,0.0,1791.3088842604948,149.27574035504122
22,BG,Sofia,Line 3 extension (Third Stage),2021,2025,0.0,3.1,1,3.1,0,0,4,,0.0,373.5,120.48387096774194
23,PL,Warsaw,Line 2,2010,2015,0.0,6.5,1,6.5,0,0,7,,0.0,3878.5365079226817,596.6979242957972
24,PL,Warsaw,Line 2 extension to Trocka,2015,2019,0.0,3.1,1,3.1,0,0,3,,0.0,681.3162140992166,219.77942390297312
25,PL,Warsaw,Line 2 extension to KJ,2015,2020,0.0,3.4,1,3.4,0,0,3,,0.0,730.9822558746736,214.99478113960987
