,country,city,phase,start_year,end_year,rr,length,tunnelper,tunnel,elevated,atgrade,stations,platform_length_meters,anglo,real_cost_2021,cost_km_2021,country_name,Region,IncomeGroup,2021,rule_of_law,no_corruption,enforcement
0,TR,Istanbul,M4 Phase 3,2015,2022,0.0,7.5,1.0,7.5,0.0,0.0,4.0,180,0.0,550.3418861282242,73.3789181504299,Turkiye,Europe & Central Asia,Upper middle income,9661.227734,0.42,0.46,0.41
1,CA,Vancouver,Broadway,2020,2025,0.0,5.7,0.8771929824561403,5.0,0.295,0.446,6.0,,1.0,2565.2406504000287,450.0422193684261,Canada,North America,High income,52358.62164,0.8,0.82,0.8
2,CA,Toronto,Vaughan,2009,2017,0.0,8.6,1.0,8.6,0.0,0.0,6.0,,1.0,3014.952287331997,350.5758473641858,Canada,North America,High income,52358.62164,0.8,0.82,0.8
3,CA,Toronto,Scarborough,2020,2030,0.0,7.8,1.0,7.8,0.0,0.0,3.0,,1.0,4985.450027279208,639.1602599075909,Canada,North America,High income,52358.62164,0.8,0.82,0.8
4,CA,Toronto,Ontario,2020,2030,0.0,15.5,0.57,8.8,5.76,1.06,15.0,,1.0,7632.655004165737,492.4293551074669,Canada,North America,High income,52358.62164,0.8,0.82,0.8
5,CA,Toronto,Yonge to Richmond Hill,2020,2030,0.0,7.4,1.0,7.4,0.0,0.0,6.0,,1.0,4924.994996348688,665.5398643714443,Canada,North America,High income,52358.62164,0.8,0.82,0.8
6,NL,Amsterdam,Amsterdam North South,2003,2018,0.0,9.7,0.73,7.1,0.0,0.0,8.0,,0.0,5090.073507133968,524.7498460962854,Netherlands,Europe & Central Asia,High income,57708.11121,0.83,0.87,0.85
7,CA,Montreal,Blue Line extension,2020,2026,0.0,5.8,1.0,5.8,0.0,0.0,5.0,,1.0,4079.0045677738976,703.2766496161893,Canada,North America,High income,52358.62164,0.8,0.82,0.8
8,US,Seattle,U-Link,2009,2016,0.0,5.1,1.0,5.1,0.0,0.0,2.0,,1.0,2072.4553777537744,406.3637995595636,United States,North America,High income,70219.47245,0.69,0.72,0.71
9,US,Los Angeles,Purple Phase 3,2020,2027,0.0,4.2,1.0,4.2,0.0,0.0,2.0,,1.0,3600.0,857.1428571428571,United States,North America,High income,70219.47245,0.69,0.72,0.71
10,US,Los Angeles,Purple Phase 2,2018,2026,0.0,4.2,1.0,4.2,0.0,0.0,2.0,,1.0,2400.0,571.4285714285714,United States,North America,High income,70219.47245,0.69,0.72,0.71
11,US,Los Angeles,Purple Phase 1,2014,2024,0.0,6.3,1.0,6.3,0.0,0.0,3.0,,1.0,3021.484865017702,479.6007722250321,United States,North America,High income,70219.47245,0.69,0.72,0.71
12,US,Los Angeles,Regional Connector,2014,2022,0.0,3.1,1.0,3.1,0.0,0.0,3.0,,1.0,1894.9026510611016,611.2589196971295,United States,North America,High income,70219.47245,0.69,0.72,0.71
13,US,San Francisco,Central Subway,2010,2021,0.0,2.7,1.0,2.7,0.0,0.0,4.0,,1.0,1911.4959279535008,707.961454797593,United States,North America,High income,70219.47245,0.69,0.72,0.71
